name,categories,class
Brötchen,Zutaten,Veggie
Brotklee,Zutaten,Veggie
Brouère,"Zutaten,Weichkäsesorten,Schnittkäsesorten,Käse aus Nordostfrankreich",Veggie
Brugge Blomme,"Zutaten,Weichkäsesorten,Belgischer Käse",Veggie
Brugge Oud,"Zutaten,Hartkäsesorten,Belgischer Käse",Veggie
Brühwürfel,Zutaten,Veggie
Brusselse Kaas,"Zutaten,Weichkäsesorten,Belgischer Käse",Veggie
Brustkern,"Zutaten,Rindfleischteile",Fleisch
Brustspitz,"Zutaten,Fleisch",Fleisch
Bryndza,"Zutaten,Weichkäsesorten,Ungarischer Käse,Polnischer Käse,Salzlakenkäse,Schafskäsesorten",Veggie
Bryndza Podhalańska,"Zutaten,Weichkäsesorten,Polnischer Käse",Veggie
Bucatini,"Zutaten,Nudelsorten",Veggie
Bûche de Chèvre,"Zutaten,Käse aus Westfrankreich,Ziegenkäsesorten,Weichkäsesorten,Schimmelkäse",Veggie
Buchecker,Zutaten,Veggie
Bucheckernöl,Zutaten,Veggie
Buchstabennudeln,"Zutaten,Nudelsorten",Veggie
Buchweizen,"Zutaten,Getreidesorten",Veggie
Buchweizengrieß,Zutaten,Veggie
Buchweizengrütze,Zutaten,Veggie
Buchweizenmehl,Zutaten,Veggie
Bückling,Zutaten,Veggie
Büffel,"Zutaten,Schlachttiere",Fleisch
Büffelmilch,Zutaten,Veggie
Büffelmozzarella,"Zutaten,Filata-Käse,Kampanischer Käse,Salzlakenkäse",Veggie
Bulgur,Zutaten,Veggie
Bündnerfleisch,"Zutaten,Fleisch",Fleisch
Bundz,"Zutaten,Weichkäsesorten,Polnischer Käse",Veggie
Burrata,"Zutaten,Apulischer Käse,Filata-Käse,Salzlakenkäse",Veggie
Bursztyn,"Zutaten,Hartkäsesorten,Polnischer Käse",Veggie
Bürzel,"Zutaten,Fleisch",Fleisch
Butter,"Zutaten,Tierische Fette",Veggie
Butter-Vanille-Aroma,"Zutaten,Lebensmittelzusatzstoff",Veggie
Butterkäse,"Zutaten,Deutscher Käse,Schnittkäsesorten",Veggie
Butterkeks,Zutaten,Veggie
Cabanossi,"Zutaten,Rohwurstsorten",Fleisch
Cachaça,Zutaten,Veggie
